Participant_ID,Country,Partner,Gender,Town,District,Age_Group,Savings_Program,Leadership_Program,Agriculture_Program,Literacy_Program,n_Programs,FFS,FDS,Months_Enough_Food,Months_Insufficient_Food,Business_Plan,Management_Confidence,Sustainable_Ag_Practices,Minimum_Tillage,Soil_Covered,Crop_Rotation,All_Sustainable_Practices,Increased_Yield,Drought_Disease_Resistance,Sustainable_Useful,Literacy_Helped,Increased_Knowledge,Food_Ran_Out,Vegetables,Fruits
44,Tanzania,geita,female,Nhwiga,Nyanga'hwale,30_49,yes,no,no,no,1,3,8,6,6,has_plan,confident,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no_one,yes_everyone
218,Tanzania,geita,male,Lwamgasa,Geita,30_49,yes,no,no,no,1,2,3,8,4,no_plan,confident,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_one,no_one
278,Tanzania,geita,female,Lwamgasa,Geita,50_plus,yes,no,no,no,1,3,6,9,3,has_plan,confident,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes_everyone,no_one
269,Tanzania,geita,female,Bukokwa,sengerema,30_49,yes,no,no,no,1,4,9,10,2,has_plan,confident,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes_everyone,yes_everyone
370,Tanzania,geita,male,Lwamgasa,Geita,30_49,yes,no,no,no,1,2,2,7,5,no_plan,confident,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_one,no_one
599,Tanzania,geita,female,Ishishang'holo,Sengerema,30_49,yes,no,no,no,1,2,4,9,3,no_plan,confident,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_one,no_one
74,Tanzania,geita,female,Nhwiga,Nyang'wale,30_49,yes,no,no,no,1,3,9,10,2,has_plan,confident,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes_everyone,yes_everyone
400,Tanzania,geita,female,Maghamba,Ngara,under_30,no,no,no,yes,1,2,5,6,6,no_plan,confident,0,NA,NA,NA,NA,NA,NA,NA,yes,NA,no,yes_everyone,no_one
259,Tanzania,geita,male,Rwamgasa,Geita,30_49,yes,no,no,no,1,3,6,6,6,has_plan,confident,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes_everyone,no_one
220,Tanzania,geita,female,Lwamgasa,Geita,30_49,yes,no,no,no,1,2,4,12,0,has_plan,confident,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes_everyone,no_one
710,Tanzania,geita,male,Lubanga,Geita,30_49,yes,yes,no,no,2,2,4,3,9,no_plan,confident,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes_everyone,no_one
756,Tanzania,geita,male,Idoselo,Geita,30_49,yes,no,no,no,1,3,4,7,5,no_plan,confident,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes_everyone,no_one
793,Tanzania,geita,male,Mtakuja,Geita,50_plus,no,yes,yes,no,2,2,5,2,10,no_plan,confident,1,0,0,1,0,1,1,Useful,NA,0,no,yes_everyone,no_one
383,Tanzania,geita,male,Nyarutembo,Chato,30_49,yes,no,no,no,1,3,6,8,4,no_plan,confident,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_one,no_one
764,Tanzania,geita,female,Lubanga,Geita,30_49,yes,no,no,no,1,2,6,5,7,no_plan,not_confident,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes_everyone,no_one
446,Tanzania,geita,female,Magamba,Ngara,under_30,no,no,no,yes,1,2,4,7,5,has_plan,confident,0,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,no_one,no_one
67,Tanzania,geita,male,Nhwiga,Nyanga'hwale,50_plus,yes,no,no,no,1,3,5,8,4,has_plan,confident,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes_everyone,no_one
806,Tanzania,geita,male,Mtakuja,Sengerema,under_30,no,yes,yes,no,2,2,2,2,10,has_plan,confident,1,0,0,0,0,1,1,Useful,NA,1,no,yes_everyone,no_one
879,Tanzania,geita,male,lubanga,Geita,30_49,no,yes,no,no,1,2,3,5,7,no_plan,confident,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes_everyone,no_one
592,Tanzania,geita,female,Ishishang'olo,Sengerema,30_49,no,no,no,yes,1,2,3,1,11,no_plan,confident,0,NA,NA,NA,NA,NA,NA,NA,yes,NA,yes,yes_everyone,no_one
435,Tanzania,geita,male,Magamba,Ngara,30_49,no,yes,no,no,1,3,4,0,12,has_plan,confident,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no_one,yes_everyone
48,Tanzania,geita,male,Nhwiga,Nyang'hwale,30_49,no,no,no,yes,1,3,5,12,0,no_plan,confident,0,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,yes_others,no_one
539,Tanzania,geita,male,Ishishang'holo,Sengerema,30_49,no,yes,no,no,1,3,4,7,5,no_plan,not_confident,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes_everyone,no_one
270,Tanzania,geita,female,Nhg'wiga,Nyang'hwale,30_49,no,no,no,yes,1,3,6,8,4,no_plan,confident,0,NA,NA,NA,NA,NA,NA,NA,no,NA,yes,yes_everyone,no_one
502,Tanzania,geita,female,Magamba,Ngara,under_30,no,no,no,yes,1,3,4,9,3,has_plan,confident,0,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,no_one,no_one
883,Tanzania,geita,male,Mtakuja,Geita,50_plus,yes,yes,no,no,2,3,3,9,3,no_plan,confident,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes_everyone,no_one
282,Tanzania,geita,male,Nyarutembo,chato,30_49,yes,no,no,no,1,3,9,11,1,no_plan,confident,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes_everyone,yes_everyone
506,Tanzania,geita,female,Magamba,Ngara,under_30,no,no,no,yes,1,4,4,0,12,has_plan,confident,0,NA,NA,NA,NA,NA,NA,NA,yes,NA,yes,no_one,no_one
63,Tanzania,geita,female,Nhwiga,Nyang'wale,50_plus,no,no,yes,no,1,3,6,11,1,no_plan,confident,1,1,1,0,0,1,0,Useful,NA,NA,NA,no_one,yes_everyone
790,Tanzania,geita,female,Mtakuja,Geita,50_plus,no,yes,yes,no,2,3,5,10,2,no_plan,confident,0,NA,NA,NA,NA,NA,1,NA,NA,0,NA,no_one,no_one
811,Tanzania,geita,male,Mtakuja,Sengerema,30_49,yes,no,no,no,1,2,3,8,4,has_plan,confident,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes_everyone,no_one
294,Tanzania,geita,female,Nyarutembo,Chato,under_30,yes,no,no,no,1,5,7,8,4,no_plan,confident,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes_everyone,no_one
863,Tanzania,geita,female,Rwamgasa,Geita,30_49,no,no,no,yes,1,3,4,6,6,no_plan,not_confident,0,NA,NA,NA,NA,NA,NA,NA,no,NA,yes,yes_everyone,no_one
862,Tanzania,geita,male,Rwamgasa,Geita,30_49,no,no,yes,no,1,3,5,6,6,no_plan,confident,1,0,0,0,0,1,1,Useful,NA,0,yes,yes_everyone,no_one
746,Tanzania,geita,female,Ishishang'holo,Sengerema,30_49,yes,no,no,no,1,2,5,7,5,no_plan,confident,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes_everyone,no_one
606,Tanzania,geita,male,Idoselo,Geita,under_30,yes,no,no,no,1,3,5,8,4,has_plan,confident,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes_everyone,no_one
729,Tanzania,geita,female,Lubanga,Geita,30_49,yes,no,no,no,1,2,3,2,10,has_plan,confident,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes_everyone,no_one
876,Tanzania,geita,male,Lubanga,Geita,30_49,no,yes,no,no,1,3,8,12,0,no_plan,confident,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes_everyone,yes_everyone
591,Tanzania,geita,male,Ishishang'olo,Sengerema,under_30,no,no,no,yes,1,3,6,1,11,no_plan,confident,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes_everyone,no_one
785,Tanzania,geita,female,Mtakuja,Geita,30_49,no,no,yes,no,1,2,4,0,12,no_plan,not_confident,0,NA,NA,NA,NA,NA,1,NA,NA,0,yes,yes_everyone,no_one
763,Tanzania,geita,male,Lubanga,Geita,30_49,yes,no,no,no,1,3,5,4,8,has_plan,confident,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_one,no_one
54,Tanzania,geita,female,Nhwiga,Nyang'wale,30_49,no,no,yes,no,1,3,6,10,2,no_plan,confident,1,1,0,0,0,1,1,Useful,NA,0,NA,yes_everyone,no_one
886,Tanzania,geita,male,mtakuja,Geita,30_49,yes,no,no,no,1,2,4,7,5,no_plan,confident,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes_everyone,no_one
35,Tanzania,geita,male,Bukokwa,Sengerema,30_49,no,no,yes,no,1,3,10,8,4,has_plan,confident,1,0,0,0,0,1,0,Useful,NA,0,NA,yes_everyone,yes_everyone
709,Tanzania,geita,male,Lubanga,Geita,50_plus,yes,no,no,no,1,2,5,6,6,no_plan,confident,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes_everyone,no_one
45,Tanzania,geita,male,Nhwiga,Nyanga'hwale,50_plus,yes,no,no,no,1,3,7,8,4,has_plan,confident,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes_everyone,no_one
42,Tanzania,geita,female,Nhwiga,Nyanga'hwale,30_49,yes,no,no,no,1,4,6,6,6,has_plan,confident,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes_everyone,no_one
394,Tanzania,geita,female,Magamba,Ngara,30_49,no,no,no,yes,1,1,1,0,12,no_plan,confident,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,no_one,no_one
816,Tanzania,geita,male,Lubanga,Geita,30_49,no,yes,no,no,1,3,6,12,0,has_plan,confident,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes_everyone,yes_everyone
829,Tanzania,geita,female,Lwamgasa,Geita,under_30,no,no,yes,no,1,3,4,12,0,has_plan,confident,1,1,1,1,1,1,1,Useful,NA,0,NA,yes_everyone,no_one
846,Tanzania,geita,male,Lubanga,Geita,50_plus,no,no,yes,no,1,2,4,3,9,has_plan,confident,1,1,1,0,0,1,0,Useful,NA,0,NA,yes_everyone,no_one
893,Tanzania,geita,male,Lwamgasa,Geita,30_49,yes,no,no,no,1,4,8,7,5,has_plan,confident,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes_everyone,yes_everyone
455,Tanzania,geita,male,Ishishang'holo,Sengerema,30_49,yes,no,no,no,1,2,4,8,4,has_plan,confident,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_one,no_one
393,Tanzania,geita,female,Magamba,Ngara,under_30,no,no,no,yes,1,1,1,0,12,no_plan,not_confident,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,no_one,no_one
391,Tanzania,geita,female,Magamba,Ngara,under_30,no,no,no,yes,1,1,2,0,12,no_plan,not_confident,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,no_one,no_one
611,Tanzania,geita,male,Idoselo,Geita,50_plus,yes,no,yes,no,2,3,5,10,2,has_plan,confident,1,1,1,0,0,1,1,Useful,NA,0,NA,yes_everyone,no_one
892,Tanzania,geita,female,Bukokwa,Sengerema,50_plus,yes,no,yes,no,2,3,7,9,3,has_plan,confident,1,1,1,1,1,1,1,Useful,NA,1,NA,yes_everyone,yes_you
754,Tanzania,geita,female,Lubanga,Geita,50_plus,no,no,no,yes,1,2,4,7,5,no_plan,not_confident,0,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,yes_everyone,no_one
276,Tanzania,geita,male,Lwamgasa,Geita,30_49,no,no,no,yes,1,3,7,8,4,no_plan,confident,0,NA,NA,NA,NA,NA,NA,NA,no,NA,yes,yes_everyone,yes_everyone
21,Tanzania,geita,male,Bukokwa,Sengerema,30_49,no,no,yes,no,1,3,8,0,12,has_plan,confident,1,0,0,0,0,1,1,Useful,NA,0,no,yes_everyone,no_one
717,Tanzania,geita,female,Lubanga,Geita,30_49,no,no,no,yes,1,3,5,5,7,has_plan,confident,0,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,yes_everyone,no_one
265,Tanzania,geita,female,Bukokwa,sengerema,30_49,yes,no,yes,no,2,3,10,6,6,has_plan,confident,1,1,1,0,0,0,1,Useful,NA,0,NA,yes_everyone,yes_everyone
156,Tanzania,geita,male,Nhwiga,Nyanghwale,50_plus,no,no,yes,no,1,3,7,12,0,has_plan,confident,1,1,1,1,1,1,1,Useful,NA,0,NA,yes_everyone,yes_everyone
425,Tanzania,geita,female,Nyarutembo,Chato,30_49,yes,no,no,no,1,3,6,6,6,has_plan,confident,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes_everyone,no_one
601,Tanzania,geita,female,Idoselo,Geita,30_49,yes,no,no,no,1,3,4,8,4,no_plan,confident,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_one,no_one
12,Tanzania,geita,female,Bukokwa,Sengerema,30_49,yes,no,no,no,1,5,6,10,2,has_plan,confident,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_one,no_one
129,Tanzania,geita,male,Igate,Heita,30_49,yes,no,yes,yes,3,3,9,7,5,has_plan,confident,1,1,1,0,0,NA,1,Useful,yes,NA,NA,no_one,yes_everyone
60,Tanzania,geita,male,Nhwiga,Nyang'wale,30_49,no,no,yes,no,1,3,6,10,2,no_plan,confident,1,1,1,0,0,1,NA,Useful,NA,NA,NA,yes_everyone,no_one
421,Tanzania,geita,male,Magamba,Ngara,30_49,no,no,yes,no,1,2,3,9,3,no_plan,confident,1,1,0,0,0,1,1,Useful,NA,0,no,no_one,no_one
150,Tanzania,geita,male,Bukokwa,Sengerema,30_49,yes,no,no,no,1,5,7,4,8,has_plan,confident,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes_everyone,no_one
584,Tanzania,geita,female,Idoselo,Geita,50_plus,no,yes,no,no,1,2,6,10,2,no_plan,confident,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes_everyone,no_one
610,Tanzania,geita,male,Idoselo,Geita,30_49,yes,no,yes,no,2,3,5,7,5,has_plan,confident,1,1,1,1,1,1,1,Useful,NA,0,NA,yes_everyone,no_one
52,Tanzania,geita,female,Nhwiga,Nyang'wale,30_49,no,no,no,yes,1,4,6,12,0,has_plan,confident,0,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,yes_everyone,no_one
78,Tanzania,geita,male,Nhwiga,Nyang'wale,30_49,yes,no,no,no,1,3,7,9,3,no_plan,confident,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes_everyone,yes_others
286,Tanzania,geita,male,Nyarutembo,Chato,50_plus,yes,no,no,no,1,2,3,9,3,has_plan,confident,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes_everyone,no_one
872,Tanzania,geita,female,Idoselo,Geita,30_49,yes,no,no,no,1,2,5,9,3,no_plan,confident,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes_everyone,no_one
752,Tanzania,geita,female,Idoselo,Geita,50_plus,yes,no,no,no,1,2,4,7,5,no_plan,confident,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes_everyone,no_one
225,Tanzania,geita,male,Katangalo,Geita,30_49,yes,no,no,no,1,4,6,12,0,has_plan,confident,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_one,no_one
796,Tanzania,geita,female,Mtakuja,Geita,50_plus,no,no,yes,no,1,2,5,8,4,no_plan,confident,1,1,0,0,0,0,1,Useful,NA,0,NA,yes_everyone,no_one
73,Tanzania,geita,male,Nhwiga,Nyang'hwale,30_49,no,no,yes,no,1,3,4,11,1,has_plan,confident,1,0,0,0,0,0,1,Useful,NA,1,NA,no_one,no_one
789,Tanzania,geita,female,Mtakuja,Geita,50_plus,no,no,yes,no,1,3,4,12,0,no_plan,not_confident,1,1,0,0,0,0,1,Useful,NA,0,NA,no_one,no_one
505,Tanzania,geita,male,Magamba,Ngara,30_49,no,no,no,yes,1,3,3,10,2,has_plan,not_confident,0,NA,NA,NA,NA,NA,NA,NA,yes,NA,yes,no_one,no_one
833,Tanzania,geita,female,"Ishishang,holo",Sengerema,50_plus,no,no,no,yes,1,3,4,0,12,has_plan,confident,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes_everyone,no_one
801,Tanzania,geita,female,Lwamgasa,Ge,50_plus,no,no,yes,no,1,3,4,7,5,no_plan,confident,1,0,0,1,0,1,0,Useful,NA,0,NA,yes_everyone,no_one
823,Tanzania,geita,female,Lwamgasa,Geita,under_30,no,no,no,yes,1,3,4,7,5,has_plan,confident,0,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,no_one,no_one
875,Tanzania,geita,male,lubanga,Geita,30_49,yes,yes,no,no,2,3,4,7,5,no_plan,confident,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_one,no_one
264,Tanzania,geita,female,Nyarutembo,Chato,30_49,yes,no,no,no,1,3,7,8,4,has_plan,confident,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes_everyone,yes_everyone
753,Tanzania,geita,male,Idoselo,Geita,30_49,yes,no,no,no,1,2,4,8,4,has_plan,confident,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes_everyone,no_one
